嚜燕ostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-06-29,000982,1,15904,19,5,2,0.4,2,47,355,C17,,
2017-11-17,000982,2,42494,94.5,28,15,0.42,2,47.5,330.5,C17,,
2017-12-14,000982,1,2961,4,1,1,5.49,2.5,284,324,C17,,
2017-08-30,000982,1,4373,9,5,3,5.12,3,862,369,C17,,
2017-07-04,000982,2,9281,20.5,3,3.5,0.68,2,329.5,361,C17,,
2017-03-05,000982,1,9161,28,18,0,2.2,3,816,367,C17,,
2017-11-06,000982,1,3817,2,1,1,0.04,1.5,30,140,C17,,
2017-11-27,000982,1,11840,15,12,6,3.08,4,438,382,C17,,
2017-02-01,000982,1,24379,59,42,5,2.12,3,816,365,C17,,
2017-09-03,000989,1,14154,13,13,4,2.27,3,200,377,C27,,
2017-03-17,000995,1,6192,4,2,1,6.08,2.5,326,371,C15,,
2017-05-23,000995,1,9746,5,4,8,5.27,2.5,542,391,C15,,
2017-06-16,000995,1,22225,57,22,8,2.15,3,867,361,C15,,
2017-10-12,000995,1,13975,5,5,1,4.55,3.5,1841,0,C15,,
2017-11-09,000995,1,8398,49,48,18,0.06,2,81,129,C15,,
2017-02-27,000995,1,5554,5,3,0,6.03,2.5,326,371,C15,,
2017-07-16,000996,1,16115,10,10,6,4.47,3,410,341,F51,,
2017-01-19,001896,1,41855,17,12,5,3.82,3.5,1566,0,D44,,
2017-11-09,002012,1,12311,1,1,0,0.48,1.5,92,0,C22,,
2017-11-25,002015,1,45606,51,14,7,3.58,3.5,332,309,C17,,
2017-09-19,002021,1,2580,1,1,0,1.84,1,19,37,C35,,
2017-12-10,002031,1,47366,69,60,9,2.61,3.5,439,349,C35,,
2017-02-20,002031,1,49246,20,18,7,3.9,3.5,1287,0,C35,,
2017-04-26,002034,1,27285,21,15,17,0.23,4,1124,303,C17,,
2017-05-30,002034,1,19338,19,19,10,2.59,3,2294,361,C17,,
2017-10-25,002034,1,31275,9,9,16,4.58,3,1287,0,C17,,
2017-12-08,002034,1,37656,10,10,18,4.7,3,1287,0,C17,,
2017-12-08,002052,1,8428,12,11,5,0.73,2,137,40,C39,,
2017-02-24,002052,1,15737,23,19,10,2.02,3.5,338,325,C39,,
2017-08-30,002054,1,55079,13,13,10,4.43,3,274,0,C26,,
2017-12-23,002058,1,7044,13,12,0,1.09,3,276,353,C40,,
2017-12-26,002058,1,7690,9,9,0,0.8,2.5,115,374,C40,,
2017-12-06,002058,1,12167,17,16,0,1.04,2.5,100,362,C40,,
2017-08-09,002058,1,93651,20,16,1,0.27,3,188,393,C40,,
2017-11-29,002058,1,10337,14,12,5,4.73,2.5,259,376,C40,,
2017-07-13,002058,1,9983,14,14,3,0.34,2.5,115,374,C40,,
2017-08-05,002058,1,9931,14,11,3,0.7,3,276,353,C40,,
2017-07-28,002058,1,9639,14,13,2,4.39,2.5,240,381,C40,,
